X Y TOP_RDG BOTTOM_RDG VRT_GRAD TIME DATE LINE MARK
12 2 29639.1 29636.7 -3.934 10:41:05.00 10/05/22 13 244
12 1 29628.7 29634.5 9.508 10:40:49.00 10/05/22 13 242
12 0 29625.8 29634.4 14.098 10:40:34.00 10/05/22 13 240
11 9 29623.1 29631.1 13.115 10:39:05.00 10/05/22 12 238
11 8 29626.9 29630.8 6.393 10:38:47.00 10/05/22 12 236
11 7 29632.9 29632.3 -0.984 10:38:31.00 10/05/22 12 234
11 6 29635.8 29635.7 -0.164 10:38:12.00 10/05/22 12 232
11 5 29637.4 29636.8 -0.984 10:37:55.00 10/05/22 12 230
11 4 29637.9 29635.9 -3.279 10:37:39.00 10/05/22 12 228
11 3 29636.3 29635.5 -1.311 10:37:24.00 10/05/22 12 226
11 2 29632.6 29634 2.295 10:37:07.00 10/05/22 12 224
11 1 29623.9 29632.3 13.77 10:36:49.00 10/05/22 12 222
11 0 29622.5 29632.3 16.066 10:36:31.00 10/05/22 12 220
10 9 29627 29629.9 4.754 10:35:42.00 10/05/22 11 218
10 8 29629.9 29630.8 1.475 10:35:23.00 10/05/22 11 216
10 7 29634 29632.9 -1.803 10:35:05.00 10/05/22 11 214
10 6 29635 29633.8 -1.967 10:34:48.00 10/05/22 11 212
10 5 29635 29635.6 0.984 10:34:32.00 10/05/22 11 210
10 4 29633.2 29633.3 0.164 10:34:17.00 10/05/22 11 208
10 3 29629.6 29631.6 3.279 10:34:02.00 10/05/22 11 206
10 2 29629.1 29631.3 3.607 10:33:44.00 10/05/22 11 204
10 1 29626.5 29629.8 5.41 10:33:26.00 10/05/22 11 202
10 0 29625.8 29632.5 10.984 10:33:10.00 10/05/22 11 200
9 9 29630 29631.4 2.295 10:31:20.00 10/05/22 10 198
9 8 29630.5 29631.4 1.475 10:31:02.00 10/05/22 10 196
9 7 29631.7 29631.9 0.328 10:30:46.00 10/05/22 10 194
9 6 29631.9 29631.1 -1.311 10:30:28.00 10/05/22 10 192
9 5 29630.2 29629.3 -1.475 10:30:13.00 10/05/22 10 190
9 4 29625.9 29626.9 1.639 10:29:56.00 10/05/22 10 188
9 3 29622.2 29625.3 5.082 10:29:37.00 10/05/22 10 186
9 2 29621.9 29626.3 7.213 10:29:11.00 10/05/22 10 184
9 1 29623.9 29626.6 4.426 10:28:52.00 10/05/22 10 182
9 0 29628.6 29631.5 4.754 10:28:33.00 10/05/22 10 180
8 9 29629.3 29631.7 3.934 10:27:50.00 10/05/22 9 178
8 8 29628.6 29629.1 0.82 10:27:32.00 10/05/22 9 176
8 7 29629.4 29629.6 0.328 10:27:16.00 10/05/22 9 174
8 6 29630 29629 -1.639 10:27:01.00 10/05/22 9 172
8 5 29628.9 29628.8 -0.164 10:26:46.00 10/05/22 9 170
8 4 29624.3 29626.5 3.607 10:26:29.00 10/05/22 9 168
8 3 29620.6 29623.9 5.41 10:26:12.00 10/05/22 9 166
